_CurrencyCode|text|HoldingDetail_Id|LocalMarketValue_Id|DataEffectiveDT|DataObjectInstanceVersionKey
USD||19929|631|2014-06-10|62903
USD||19930|632|2014-06-10|62903
USD||19931|633|2014-06-10|62903
USD||19932|634|2014-06-10|62903
USD||19933|635|2014-06-10|62903
USD||19934|636|2014-06-10|62903
USD||19935|637|2014-06-10|62903
USD||19936|638|2014-06-10|62903
USD||19937|639|2014-06-10|62903
USD||19938|640|2014-06-10|62903
USD||19939|641|2014-06-10|62903
USD||19940|642|2014-06-10|62903
USD||19941|643|2014-06-10|62903
USD||19942|644|2014-06-10|62903
USD||19943|645|2014-06-10|62903
USD||19944|646|2014-06-10|62903
USD||19945|647|2014-06-10|62903
USD||19946|648|2014-06-10|62903
USD||19947|649|2014-06-10|62903
USD||19948|650|2014-06-10|62903
USD||19949|651|2014-06-10|62903
USD||19950|652|2014-06-10|62903
USD||19951|653|2014-06-10|62903
USD||19952|654|2014-06-10|62903
USD||19953|655|2014-06-10|62903
USD||19954|656|2014-06-10|62903
USD||19955|657|2014-06-10|62903
USD||19956|658|2014-06-10|62903
USD||19957|659|2014-06-10|62903
USD||19958|660|2014-06-10|62903
USD||19959|661|2014-06-10|62903
USD||19960|662|2014-06-10|62903
USD||19961|663|2014-06-10|62903
USD||19962|664|2014-06-10|62903
USD||19963|665|2014-06-10|62903
USD||19964|666|2014-06-10|62903
USD||19965|667|2014-06-10|62903
USD||19966|668|2014-06-10|62903
USD||19967|669|2014-06-10|62903
USD||19968|670|2014-06-10|62903
USD||19969|671|2014-06-10|62903
USD||19970|672|2014-06-10|62903
USD||19971|673|2014-06-10|62903
USD||19972|674|2014-06-10|62903
USD||19973|675|2014-06-10|62903
USD||19974|676|2014-06-10|62903
USD||19975|677|2014-06-10|62903
USD||19976|678|2014-06-10|62903
USD||19977|679|2014-06-10|62903
USD||19978|680|2014-06-10|62903
USD||19979|681|2014-06-10|62903
USD||19980|682|2014-06-10|62903
USD||19981|683|2014-06-10|62903
USD||19982|684|2014-06-10|62903
USD||19983|685|2014-06-10|62903
USD||19984|686|2014-06-10|62903
USD||19985|687|2014-06-10|62903
USD||19986|688|2014-06-10|62903
USD||19987|689|2014-06-10|62903
USD||19988|690|2014-06-10|62903
USD||19989|691|2014-06-10|62903
USD||19990|692|2014-06-10|62903
USD||19991|693|2014-06-10|62903
USD||19992|694|2014-06-10|62903
USD||19993|695|2014-06-10|62903
USD||19994|696|2014-06-10|62903
USD||19995|697|2014-06-10|62903
USD||19996|698|2014-06-10|62903
USD||19997|699|2014-06-10|62903
USD||19998|700|2014-06-10|62903
USD||19999|701|2014-06-10|62903
USD||20000|702|2014-06-10|62903
USD||20001|703|2014-06-10|62903
USD||20002|704|2014-06-10|62903
USD||20003|705|2014-06-10|62903
USD||20004|706|2014-06-10|62903
USD||20005|707|2014-06-10|62903
USD||20006|708|2014-06-10|62903
USD||20007|709|2014-06-10|62903
USD||20008|710|2014-06-10|62903
USD||20009|711|2014-06-10|62903
USD||20010|712|2014-06-10|62903
USD||20011|713|2014-06-10|62903
USD||20012|714|2014-06-10|62903
USD||20013|715|2014-06-10|62903
USD||20014|716|2014-06-10|62903
USD||20015|717|2014-06-10|62903
USD||20016|718|2014-06-10|62903
USD||20017|719|2014-06-10|62903
USD||20018|720|2014-06-10|62903
USD||20019|721|2014-06-10|62903
USD||20020|722|2014-06-10|62903
USD||20021|723|2014-06-10|62903
USD||20022|724|2014-06-10|62903
USD||20023|725|2014-06-10|62903
USD||20024|726|2014-06-10|62903
USD||20025|727|2014-06-10|62903
USD||20026|728|2014-06-10|62903
USD||20027|729|2014-06-10|62903
USD||20028|730|2014-06-10|62903
USD||20029|731|2014-06-10|62903
USD||20030|732|2014-06-10|62903
USD||20031|733|2014-06-10|62903
USD||20032|734|2014-06-10|62903
USD||20033|735|2014-06-10|62903
USD||20034|736|2014-06-10|62903
USD||20035|737|2014-06-10|62903
USD||20036|738|2014-06-10|62903
USD||20037|739|2014-06-10|62903
USD||20038|740|2014-06-10|62903
USD||20039|741|2014-06-10|62903
USD||20040|742|2014-06-10|62903
USD||20041|743|2014-06-10|62903
USD||20042|744|2014-06-10|62903
USD||20043|745|2014-06-10|62903
USD||20044|746|2014-06-10|62903
USD||20045|747|2014-06-10|62903
USD||20046|748|2014-06-10|62903
USD||20047|749|2014-06-10|62903
USD||20048|750|2014-06-10|62903
USD||20049|751|2014-06-10|62903
USD||20050|752|2014-06-10|62903
USD||20051|753|2014-06-10|62903
USD||20052|754|2014-06-10|62903
USD||20053|755|2014-06-10|62903
USD||20054|756|2014-06-10|62903
USD||20055|757|2014-06-10|62903
USD||20056|758|2014-06-10|62903
USD||20057|759|2014-06-10|62903
USD||20058|760|2014-06-10|62903
USD||20059|761|2014-06-10|62903
USD||20060|762|2014-06-10|62903
USD||20061|763|2014-06-10|62903
