FundShareClass_Id|_Id|InvestmentVehicle_Id|DataEffectiveDT|DataObjectInstanceVersionKey
3554|F000000MML|3554|2014-06-10|62903
3555|F000000MMN|3555|2014-06-10|62903
3556|F000000MMP|3556|2014-06-10|62903
3557|F000000MMS|3557|2014-06-10|62903
3558|F000000MMW|3558|2014-06-10|62903
3559|F000000MMY|3559|2014-06-10|62903
3560|F000000MN0|3560|2014-06-10|62903
3561|F000000MN3|3561|2014-06-10|62903
3562|F000000MN5|3562|2014-06-10|62903
3563|F000000MN7|3563|2014-06-10|62903
3564|F000000MNA|3564|2014-06-10|62903
3565|F000000MNC|3565|2014-06-10|62903
3566|F000000MNE|3566|2014-06-10|62903
3567|F000000MNH|3567|2014-06-10|62903
