Portfolio_Id|_CurrencyId|_ExternalId|PortfolioList_Id|DataEffectiveDT|DataObjectInstanceVersionKey
2837|JPY|FSUSA08JUL|2837|2014-06-10|62903
2838|JPY|FSUSA0AMB6|2838|2014-06-10|62903
2839|JPY|FSUSA08JTB|2839|2014-06-10|62903
2840|JPY|FSUSA08JW6|2840|2014-06-10|62903
2841|JPY|FSUSA08JTT|2841|2014-06-10|62903
2842|JPY|FSUSA08JVV|2842|2014-06-10|62903
2843|JPY|FSUSA08JW2|2843|2014-06-10|62903
2844|JPY|FSUSA08JXW|2844|2014-06-10|62903
2845|JPY|FSUSA08JSH|2845|2014-06-10|62903
2846|JPY|FSUSA08JXZ|2846|2014-06-10|62903
2847|JPY|FSUSA08JSB|2847|2014-06-10|62903
2848|JPY|FSUSA08JTM|2848|2014-06-10|62903
2849|JPY|FSUSA08JUK|2849|2014-06-10|62903
2850|JPY|FSUSA0AJSK|2850|2014-06-10|62903
2851|JPY|FSUSA08JXJ|2851|2014-06-10|62903
2852|JPY|FSUSA08JUS|2852|2014-06-10|62903
2853|JPY|FSUSA08JUW|2853|2014-06-10|62903
2854|JPY|FSUSA0AMBD|2854|2014-06-10|62903
2855|JPY|FSUSA0AP1H|2855|2014-06-10|62903
2856|JPY|FSUSA08JV1|2856|2014-06-10|62903
2857|JPY|FSUSA08JY9|2857|2014-06-10|62903
2858|JPY|FSUSA08JSM|2858|2014-06-10|62903
2859|JPY|FSUSA08JV6|2859|2014-06-10|62903
2860|JPY|FSUSA08JVR|2860|2014-06-10|62903
2861|JPY|FSUSA08JV5|2861|2014-06-10|62903
2862|JPY|FSUSA0AJSI|2862|2014-06-10|62903
2863|JPY|FS0000A6HC|2863|2014-06-10|62903
2864|JPY|FS0000A6HE|2864|2014-06-10|62903
2865|JPY|FS0000A6HG|2865|2014-06-10|62903
2866|JPY|FS0000A6HI|2866|2014-06-10|62903
2867|JPY|FS0000A6HK|2867|2014-06-10|62903
2868|JPY|FS0000A6HA|2868|2014-06-10|62903
2869|JPY|FS0000A6N6|2869|2014-06-10|62903
2870|JPY|FS0000A7BE|2870|2014-06-10|62903
2871|JPY|FS0000A7BG|2871|2014-06-10|62903
2872|JPY|FS0000A7GO|2872|2014-06-10|62903
2873|JPY|FS0000A7GQ|2873|2014-06-10|62903
2874|JPY|FS0000A7GS|2874|2014-06-10|62903
2875|JPY|FS0000A7GU|2875|2014-06-10|62903
2876|JPY|FS0000A7GY|2876|2014-06-10|62903
2877|JPY|FS0000A7H0|2877|2014-06-10|62903
2878|JPY|FS0000A7NA|2878|2014-06-10|62903
2879|JPY|FS0000A7NC|2879|2014-06-10|62903
2880|JPY|FS0000A7NE|2880|2014-06-10|62903
2881|JPY|FS0000A7NG|2881|2014-06-10|62903
2882|JPY|FS0000A7NI|2882|2014-06-10|62903
2883|JPY|FS0000A7NK|2883|2014-06-10|62903
2884|JPY|FS0000A7NM|2884|2014-06-10|62903
2885|JPY|FS0000A7NO|2885|2014-06-10|62903
2886|JPY|FS0000A7NQ|2886|2014-06-10|62903
2887|JPY|FS0000A7NS|2887|2014-06-10|62903
2888|JPY|FS0000A7NU|2888|2014-06-10|62903
